Order_id,Segment,Customer_ID,Product_ID,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,Sales_Th,COGS,Profit,Profit_Th,Date,Month,Quarter,Year,Customer_Name,Product_Name,Country,qt
1,Enterprise,CUST_ID_001,PROD_ID_001,None,345,5,125,"43,125.00",0,"43,125.00",43.13,"41,400.00","1,725.00",1.73,22-09-2021,Sep,Q3,2021,James Smith,Montana,USA,345
2,Midmarket,CUST_ID_002,PROD_ID_002,None,549,10,15,"8,235.00",0,"8,235.00",8.24,"5,490.00","2,745.00",2.75,11-01-2021,Jan,Q1,2021,Emma Johnson,Paseo,Canada,549
3,Small Business,CUST_ID_003,PROD_ID_002,None,788,10,300,"2,36,400.00",0,"2,36,400.00",236.4,"1,97,000.00","39,400.00",39.4,27-01-2022,Jan,Q1,2021,Noah Williams,Paseo,England,788
4,Government,CUST_ID_004,PROD_ID_002,None,"1,725.00",10,350,"6,03,750.00",0,"6,03,750.00",603.75,"4,48,500.00","1,55,250.00",155.25,01-08-2021,Aug,Q3,2021,Olivia Brown,Paseo,France,"1,725.00"
5,Channel Partners,CUST_ID_005,PROD_ID_002,None,912,10,12,"10,944.00",0,"10,944.00",10.94,"2,736.00","8,208.00",8.21,08-07-2022,Jul,Q3,2021,Liam Jones,Paseo,Germany,912
6,Midmarket,CUST_ID_006,PROD_ID_002,None,"2,152.00",10,15,"32,280.00",0,"32,280.00",32.28,"21,520.00","10,760.00",10.76,28-09-2022,Sep,Q3,2021,Ava Davis,Paseo,Italy,"2,152.00"
7,Enterprise,CUST_ID_007,PROD_ID_003,None,345,120,125,"43,125.00",0,"43,125.00",43.13,"41,400.00","1,725.00",1.73,26-09-2021,Sep,Q3,2021,Ethan Miller,Velo,India,345
8,Government,CUST_ID_008,PROD_ID_004,None,"1,527.00",250,350,"5,34,450.00",0,"5,34,450.00",534.45,"3,97,020.00","1,37,430.00",137.43,11-02-2021,Feb,Q1,2021,Isabella Wilson,VTT,Japan,"1,527.00"
9,Enterprise,CUST_ID_009,PROD_ID_005,Low,330,3,125,"41,250.00",412.5,"40,837.50",40.84,"39,600.00","1,237.50",1.24,12-01-2022,Jan,Q1,2021,Mason Taylor,Carretera,USA,330
10,Channel Partners,CUST_ID_010,PROD_ID_005,Low,766,3,12,"9,192.00",91.92,"9,100.08",9.1,"2,298.00","6,802.08",6.8,06-04-2022,Apr,Q2,2021,Sophia Anderson,Carretera,Canada,766
11,Small Business,CUST_ID_011,PROD_ID_005,Low,494,3,300,"1,48,200.00",1482,"1,46,718.00",146.72,"1,23,500.00","23,218.00",23.22,19-11-2021,Nov,Q4,2021,Benjamin Martinez,Carretera,England,494
12,Small Business,CUST_ID_012,PROD_ID_001,Low,"2,498.00",5,300,"7,49,400.00",7494,"7,41,906.00",741.91,"6,24,500.00","1,17,406.00",117.41,20-12-2021,Dec,Q4,2021,Mia Thomas,Montana,France,"2,498.00"
13,Enterprise,CUST_ID_013,PROD_ID_001,Low,663,5,125,"82,875.00",828.75,"82,046.25",82.05,"79,560.00","2,486.25",2.49,27-02-2021,Feb,Q1,2021,Logan Jackson,Montana,Germany,663
14,Channel Partners,CUST_ID_014,PROD_ID_002,Low,766,10,12,"9,192.00",91.92,"9,100.08",9.1,"2,298.00","6,802.08",6.8,10-07-2022,Jul,Q3,2021,Charlotte White,Paseo,Italy,766
15,Enterprise,CUST_ID_015,PROD_ID_003,Low,663,120,125,"82,875.00",828.75,"82,046.25",82.05,"79,560.00","2,486.25",2.49,29-03-2022,Mar,Q1,2021,Samuel Taylor,Velo,India,663
16,Government,CUST_ID_016,PROD_ID_003,Low,"2,092.00",120,7,"14,644.00",146.44,"14,497.56",14.5,"10,460.00","4,037.56",4.04,19-10-2022,Oct,Q4,2021,Harper Davis,Velo,Japan,"2,092.00"
17,Small Business,CUST_ID_017,PROD_ID_004,Low,494,250,300,"1,48,200.00",1482,"1,46,718.00",146.72,"1,23,500.00","23,218.00",23.22,31-07-2022,Jul,Q3,2021,Henry Anderson,VTT,USA,494
18,Channel Partners,CUST_ID_018,PROD_ID_006,Low,"1,989.00",260,12,"23,868.00",238.68,"23,629.32",23.63,"5,967.00","17,662.32",17.66,29-03-2022,Mar,Q1,2021,Amelia Garcia,Amarilla,Canada,"1,989.00"
19,Midmarket,CUST_ID_019,PROD_ID_006,Low,321,260,15,"4,815.00",48.15,"4,766.85",4.77,"3,210.00","1,556.85",1.56,27-07-2022,Jul,Q3,2021,Jackson Martinez,Amarilla,England,321
20,Small Business,CUST_ID_020,PROD_ID_005,Low,214,3,300,"64,200.00",1284,"62,916.00",62.92,"53,500.00","9,416.00",9.42,30-08-2021,Aug,Q3,2021,Abigail Robinson,Carretera,France,214
21,Government,CUST_ID_021,PROD_ID_005,Low,"2,145.00",3,7,"15,015.00",300.3,"14,714.70",14.71,"10,725.00","3,989.70",3.99,15-10-2021,Oct,Q4,2021,Aiden Lewis,Carretera,Germany,"2,145.00"
22,Enterprise,CUST_ID_022,PROD_ID_001,Low,"1,660.00",5,125,"2,07,500.00",4150,"2,03,350.00",203.35,"1,99,200.00","4,150.00",4.15,30-10-2022,Oct,Q4,2021,Emily Clark,Montana,Italy,"1,660.00"
